step,tag,value
0,train/acc,0.3709999918937683
0,train/acc,0.36932501196861267
0,train/acc,0.37152498960494995
0,train/acc,0.36515000462532043
0,train/acc,0.37564998865127563
1,train/acc,0.4957750141620636
1,train/acc,0.4856249988079071
1,train/acc,0.48627498745918274
1,train/acc,0.48785001039505005
1,train/acc,0.4802750051021576
2,train/acc,0.5614749789237976
2,train/acc,0.5649250149726868
2,train/acc,0.5493999719619751
2,train/acc,0.5566250085830688
2,train/acc,0.5515499711036682
3,train/acc,0.6022250056266785
3,train/acc,0.5960249900817871
3,train/acc,0.5931500196456909
3,train/acc,0.5973749756813049
3,train/acc,0.6034500002861023
4,train/acc,0.6315249800682068
4,train/acc,0.6251749992370605
4,train/acc,0.6147750020027161
4,train/acc,0.6235250234603882
4,train/acc,0.6287000179290771
5,train/acc,0.647350013256073
5,train/acc,0.657800018787384
5,train/acc,0.652649998664856
5,train/acc,0.65277498960495
5,train/acc,0.6625750064849854
6,train/acc,0.6684749722480774
6,train/acc,0.6671249866485596
6,train/acc,0.672124981880188
6,train/acc,0.676925003528595
6,train/acc,0.6643999814987183
7,train/acc,0.678600013256073
7,train/acc,0.6957499980926514
7,train/acc,0.691349983215332
7,train/acc,0.6980000138282776
7,train/acc,0.6945750117301941
8,train/acc,0.6969500184059143
8,train/acc,0.7108500003814697
8,train/acc,0.6998500227928162
8,train/acc,0.7115499973297119
8,train/acc,0.7056249976158142
9,train/acc,0.7307999730110168
9,train/acc,0.7272499799728394
9,train/acc,0.7196000218391418
9,train/acc,0.7315250039100647
9,train/acc,0.7122750282287598
10,train/acc,0.7347000241279602
10,train/acc,0.7329999804496765
10,train/acc,0.7407749891281128
10,train/acc,0.7457249760627747
10,train/acc,0.7364500164985657
11,train/acc,0.7598000168800354
11,train/acc,0.7482500076293945
11,train/acc,0.7520999908447266
11,train/acc,0.7589750289916992
11,train/acc,0.7490500211715698
12,train/acc,0.7693250179290771
12,train/acc,0.7707499861717224
12,train/acc,0.7655749917030334
12,train/acc,0.7795249819755554
12,train/acc,0.7657250165939331
13,train/acc,0.780875027179718
13,train/acc,0.7787500023841858
13,train/acc,0.7876499891281128
13,train/acc,0.7800499796867371
13,train/acc,0.7883750200271606
14,train/acc,0.7907999753952026
14,train/acc,0.7858750224113464
14,train/acc,0.8028500080108643
14,train/acc,0.7924000024795532
14,train/acc,0.796875
15,train/acc,0.8132500052452087
15,train/acc,0.8061249852180481
15,train/acc,0.8029000163078308
15,train/acc,0.8074749708175659
15,train/acc,0.8080250024795532
16,train/acc,0.8127999901771545
16,train/acc,0.8141499757766724
16,train/acc,0.8134750127792358
16,train/acc,0.8094499707221985
16,train/acc,0.8131250143051147
17,train/acc,0.8281750082969666
17,train/acc,0.8341249823570251
17,train/acc,0.826449990272522
17,train/acc,0.8222500085830688
17,train/acc,0.8189499974250793
18,train/acc,0.8248249888420105
18,train/acc,0.8242999911308289
18,train/acc,0.8297749757766724
18,train/acc,0.8300750255584717
18,train/acc,0.8307499885559082
19,train/acc,0.8275499939918518
19,train/acc,0.8305749893188477
19,train/acc,0.829925000667572
19,train/acc,0.8374249935150146
19,train/acc,0.8472750186920166
0,train/loss,1.916739821434021
0,train/loss,1.915526032447815
0,train/loss,1.9116623401641846
0,train/loss,1.918945550918579
0,train/loss,1.907041072845459
1,train/loss,1.7218472957611084
1,train/loss,1.7361304759979248
1,train/loss,1.7300714254379272
1,train/loss,1.7344824075698853
1,train/loss,1.7372920513153076
2,train/loss,1.6241101026535034
2,train/loss,1.6057534217834473
2,train/loss,1.6328145265579224
2,train/loss,1.6166738271713257
2,train/loss,1.6328866481781006
3,train/loss,1.5318831205368042
3,train/loss,1.5554563999176025
3,train/loss,1.5596089363098145
3,train/loss,1.55408775806427
3,train/loss,1.550611972808838
4,train/loss,1.4963284730911255
4,train/loss,1.507949709892273
4,train/loss,1.5209544897079468
4,train/loss,1.5003000497817993
4,train/loss,1.5087196826934814
5,train/loss,1.4577670097351074
5,train/loss,1.4579886198043823
5,train/loss,1.4557679891586304
5,train/loss,1.4464191198349
5,train/loss,1.4387366771697998
6,train/loss,1.416582703590393
6,train/loss,1.4154466390609741
6,train/loss,1.4174431562423706
6,train/loss,1.4103044271469116
6,train/loss,1.4229869842529297
7,train/loss,1.3907032012939453
7,train/loss,1.378582239151001
7,train/loss,1.380522608757019
7,train/loss,1.3709137439727783
7,train/loss,1.373995304107666
8,train/loss,1.3488891124725342
8,train/loss,1.3414644002914429
8,train/loss,1.3529249429702759
8,train/loss,1.3403431177139282
8,train/loss,1.348098874092102
9,train/loss,1.3003710508346558
9,train/loss,1.3128540515899658
9,train/loss,1.3164162635803223
9,train/loss,1.2953685522079468
9,train/loss,1.3326098918914795
10,train/loss,1.289206624031067
10,train/loss,1.2836586236953735
10,train/loss,1.2856299877166748
10,train/loss,1.265708565711975
10,train/loss,1.2842066287994385
11,train/loss,1.234161138534546
11,train/loss,1.2629443407058716
11,train/loss,1.2605209350585938
11,train/loss,1.2387531995773315
11,train/loss,1.2605069875717163
12,train/loss,1.2169456481933594
12,train/loss,1.2207847833633423
12,train/loss,1.2259958982467651
12,train/loss,1.1960018873214722
12,train/loss,1.2191760540008545
13,train/loss,1.1958210468292236
13,train/loss,1.1964831352233887
13,train/loss,1.1785284280776978
13,train/loss,1.18483304977417
13,train/loss,1.1780354976654053
14,train/loss,1.1642884016036987
14,train/loss,1.1656112670898438
14,train/loss,1.1460660696029663
14,train/loss,1.159510612487793
