step,tag,value
0,train/acc,0.358474999666214
0,train/acc,0.3630250096321106
0,train/acc,0.36457499861717224
0,train/acc,0.3537749946117401
0,train/acc,0.3511750102043152
1,train/acc,0.4796999990940094
1,train/acc,0.4772999882698059
1,train/acc,0.46742498874664307
1,train/acc,0.4707750082015991
1,train/acc,0.46665000915527344
2,train/acc,0.5445250272750854
2,train/acc,0.5309749841690063
2,train/acc,0.5268250107765198
2,train/acc,0.5304250121116638
2,train/acc,0.5409749746322632
3,train/acc,0.5845249891281128
3,train/acc,0.5767250061035156
3,train/acc,0.5805249810218811
3,train/acc,0.5659499764442444
3,train/acc,0.5738750100135803
4,train/acc,0.6169499754905701
4,train/acc,0.6118000149726868
4,train/acc,0.6012499928474426
4,train/acc,0.6040999889373779
4,train/acc,0.6031500101089478
5,train/acc,0.6334499716758728
5,train/acc,0.6366000175476074
5,train/acc,0.6367499828338623
5,train/acc,0.6363499760627747
5,train/acc,0.6358000040054321
6,train/acc,0.6524999737739563
6,train/acc,0.656374990940094
6,train/acc,0.6594250202178955
6,train/acc,0.6622250080108643
6,train/acc,0.6500999927520752
7,train/acc,0.6891250014305115
7,train/acc,0.677649974822998
7,train/acc,0.677299976348877
7,train/acc,0.6747249960899353
7,train/acc,0.6811500191688538
8,train/acc,0.6984500288963318
8,train/acc,0.7032250165939331
8,train/acc,0.6990000009536743
8,train/acc,0.69964998960495
8,train/acc,0.6941750049591064
9,train/acc,0.7125250101089478
9,train/acc,0.7164000272750854
9,train/acc,0.7118499875068665
9,train/acc,0.7175999879837036
9,train/acc,0.7180500030517578
10,train/acc,0.7396500110626221
10,train/acc,0.7295250296592712
10,train/acc,0.7262499928474426
10,train/acc,0.7308499813079834
10,train/acc,0.7337999939918518
11,train/acc,0.743399977684021
11,train/acc,0.7353500127792358
11,train/acc,0.7471250295639038
11,train/acc,0.7475249767303467
11,train/acc,0.7357500195503235
12,train/acc,0.761775016784668
12,train/acc,0.7505249977111816
12,train/acc,0.7479000091552734
12,train/acc,0.7557500004768372
12,train/acc,0.7573000192642212
13,train/acc,0.7739250063896179
13,train/acc,0.76910001039505
13,train/acc,0.7710000276565552
13,train/acc,0.7757750153541565
13,train/acc,0.7718250155448914
14,train/acc,0.7848749756813049
14,train/acc,0.783424973487854
14,train/acc,0.7854499816894531
14,train/acc,0.7830749750137329
14,train/acc,0.7941750288009644
15,train/acc,0.8056750297546387
15,train/acc,0.8041499853134155
15,train/acc,0.7997249960899353
15,train/acc,0.8089749813079834
15,train/acc,0.8051750063896179
16,train/acc,0.8181999921798706
16,train/acc,0.8076750040054321
16,train/acc,0.7987750172615051
16,train/acc,0.812125027179718
16,train/acc,0.8180750012397766
17,train/acc,0.8256000280380249
17,train/acc,0.8212000131607056
17,train/acc,0.8238499760627747
17,train/acc,0.8165500164031982
17,train/acc,0.8133999705314636
18,train/acc,0.8267999887466431
18,train/acc,0.8188750147819519
18,train/acc,0.828374981880188
